name,neighborhood_name,date
t3002200,hawthorne,2017
t3106700,east isles,2017
t3106600,east isles,2017
t3011800,keewaydin,2017
t3103400,sumner - glenwood,2017
t3106000,ventura village,2017
t3126100,downtown east,2017
t3001700,holland,2017
t3110500,hiawatha,2017
t3110900,regina,2017
t3101200,audubon park,2017
t3109100,west calhoun,2017
t3100900,mckinley,2017
t3100400,mckinley,2017
t3125800,midtown phillips,2017
t3011703,hale,2017
t3008200,lyndale,2017
t3108900,howe,2017
t3109000,howe,2017
t3100500,bottineau,2017
t3001700,bottineau,2017
t3011000,northrop,2017
t3110900,northrop,2017
t3008100,lowry hill east,2017
t3007700,lowry hill east,2017
t3104900,university of minnesota,2017
t3105700,stevens square - loring heights,2017
t3111500,windom,2017
t3109100,linden hills,2017
t3126200,north loop,2017
t3111600,field,2017
t3104000,mid - city industrial,2017
t3106700,whittier,2017
t3110100,standish,2017
t3106500,cedar - isles - dean,2017
t3001700,sheridan,2017
t3002400,sheridan,2017
t3008500,powderhorn park,2017
t3109700,powderhorn park,2017
t3105201,loring park,2017
t3105500,loring park,2017
t3011800,wenonah,2017
t3110100,bancroft,2017
t3003200,willard - hay,2017
t3003300,willard - hay,2017
t3103100,st. anthony east,2017
t3110800,king field,2017
t3012003,diamond lake,2017
t3103600,nicollet island - east bank,2017
t3100700,cleveland,2017
t3009600,bryant,2017
t3009500,bryant,2017
t3100900,folwell,2017
t3111500,tangletown,2017
t3126000,phillips west,2017
t3102600,beltrami,2017
t3010600,fulton,2017
t3125900,east phillips,2017
t3125600,prospect park - east river road,2017
t3103700,marcy holmes,2017
t3103600,marcy holmes,2017
t3107400,longfellow,2017
t3108800,longfellow,2017
t3108900,longfellow,2017
t3109200,carag,2017
t3000101,shingle creek,2017
t3108700,corcoran,2017
t3108600,corcoran,2017
t3000102,humboldt industrial area,2017
t3000101,humboldt industrial area,2017
t3105100,bryn - mawr,2017
t3012001,kenny,2017
t3102600,northeast park,2017
t3100400,camden industrial,2017
t3100900,camden industrial,2017
t3000603,waite park,2017
t3104000,como,2017
t3000300,victory,2017
t3104800,cedar riverside,2017
