cityId,name,date,num_court_cases_total,num_court_cases_male,num_court_cases_black,num_court_cases_white,num_court_cases_asian,num_court_cases_adult,num_court_cases_juv,num_court_cases_felony,num_court_cases_gross_misdemeanor,num_court_cases_misdemeanor,num_court_cases_petty_misdemeanor
c5310846,champlin,2018,217,156,62.0,122,7.0,121,96.0,82.0,7.0,28.0,1.0
c5354808,robbinsdale,2018,362,280,211.0,115,5.0,298,64.0,200.0,6.0,31.0,3.0
c5340166,maple grove,2018,602,420,283.0,252,17.0,321,281.0,250.0,31.0,102.0,1.0
c5324308,golden valley,2018,210,158,87.0,85,12.0,158,52.0,124.0,8.0,24.0,2.0
c5320078,excelsior,2018,28,21,5.0,18,1.0,19,9.0,8.0,1.0,5.0,0.0
c5356680,st. anthony,2018,44,37,15.0,15,3.0,29,15.0,28.0,0.0,6.0,0.0
c5343306,minnetrista,2017,50,37,7.0,20,0.0,21,29.0,16.0,2.0,7.0,1.0
c5348580,orono,2017,56,43,7.0,29,0.0,18,38.0,14.0,1.0,20.0,2.0
c5325622,greenfield,2017,13,10,1.0,9,0.0,5,8.0,3.0,0.0,7.0,0.0
c5341480,medina,2017,34,19,5.0,18,1.0,23,11.0,11.0,2.0,4.0,2.0
c5330140,hopkins,2017,272,201,152.0,98,1.0,161,111.0,107.0,6.0,57.0,1.0
c5315022,dayton,2017,36,31,2.0,27,1.0,15,21.0,13.0,1.0,7.0,0.0
c5338006,long lake,2017,3,2,0.0,1,0.0,2,1.0,2.0,0.0,0.0,0.0
c5318188,edina,2017,587,441,305.0,217,8.0,309,278.0,277.0,25.0,97.0,1.0
c5354214,richfield,2017,395,306,177.0,143,12.0,245,150.0,185.0,2.0,44.0,7.0
c5330842,independence,2017,32,23,1.0,22,1.0,15,17.0,11.0,0.0,2.0,0.0
c5343000,minneapolis,2017,6331,5098,4115.0,1321,90.0,4660,1671.0,3923.0,184.0,615.0,12.0
c5355186,rogers,2017,307,235,41.0,206,4.0,160,147.0,113.0,8.0,70.0,3.0
c5314158,crystal,2017,284,205,163.0,87,1.0,154,130.0,119.0,11.0,64.0,2.0
c5344476,mound,2017,66,43,8.0,43,0.0,29,37.0,20.0,2.0,19.0,2.0
c5368818,wayzata,2017,49,38,3.0,35,0.0,30,19.0,22.0,0.0,5.0,1.0
c5306616,bloomington,2017,1515,1016,726.0,542,29.0,771,744.0,677.0,35.0,313.0,5.0
c5343252,minnetonka,2017,551,346,221.0,235,12.0,278,273.0,264.0,17.0,113.0,1.0
c5313168,corcoran,2017,30,22,3.0,19,3.0,24,6.0,22.0,1.0,0.0,0.0
c5360016,shorewood,2017,48,32,8.0,28,0.0,26,22.0,23.0,1.0,11.0,0.0
c5345628,new hope,2017,241,179,157.0,62,2.0,99,142.0,74.0,10.0,65.0,4.0
c5315148,deephaven,2017,9,7,0.0,8,0.0,2,7.0,3.0,1.0,3.0,0.0
c5307948,brooklyn center,2017,653,462,429.0,149,19.0,445,208.0,344.0,23.0,88.0,3.0
c5343270,minnetonka beach,2017,6,5,0.0,3,0.0,1,5.0,0.0,0.0,2.0,0.0
c5349012,osseo,2017,48,39,22.0,14,1.0,15,33.0,16.0,3.0,13.0,2.0
c5318116,eden prairie,2017,394,287,131.0,181,19.0,261,133.0,189.0,14.0,56.0,3.0
