districtId,name,date
d2721240,t3000101,2019
d2721240,t3000102,2019
d2721240,t3000300,2019
d2721240,t3000601,2019
d2721240,t3000603,2019
d2721240,t3001100,2019
d2721240,t3001700,2019
d2721240,t3002200,2019
d2721240,t3002400,2019
d2721240,t3002700,2019
d2721240,t3003200,2019
d2721240,t3003300,2019
d2721240,t3003800,2019
d2721240,t3005901,2019
d2721240,t3005902,2019
d2721240,t3006800,2019
d2721240,t3007700,2019
d2721240,t3007801,2019
d2721240,t3008100,2019
d2721240,t3008200,2019
d2721240,t3008300,2019
d2721240,t3008400,2019
d2721240,t3008500,2019
d2721240,t3009500,2019
d2721240,t3009600,2019
d2721240,t3010600,2019
d2721240,t3010700,2019
d2721240,t3011000,2019
d2721240,t3011703,2019
d2721240,t3011704,2019
d2721240,t3011800,2019
d2721240,t3011998,2019
d2721240,t3012001,2019
d2721240,t3012003,2019
d2721240,t3012101,2019
d2721240,t3012102,2019
d2733420,t3020101,2019
d2721240,t3020102,2019
d2733420,t3020102,2019
d2703180,t3020200,2019
d2706240,t3020200,2019
d2703180,t3020301,2019
d2706240,t3020301,2019
d2725200,t3020301,2019
d2725200,t3020302,2019
d2725200,t3020303,2019
d2706240,t3020304,2019
d2725200,t3020304,2019
d2731780,t3020304,2019
d2731780,t3020400,2019
d2706240,t3020500,2019
d2706240,t3020600,2019
d2731780,t3020700,2019
d2731780,t3020801,2019
d2731780,t3020804,2019
d2731780,t3020902,2019
d2731780,t3020903,2019
d2731780,t3021001,2019
d2731780,t3021002,2019
d2731780,t3021100,2019
d2721240,t3021200,2019
d2731780,t3021200,2019
d2731780,t3021300,2019
d2721240,t3021400,2019
d2731780,t3021400,2019
d2731780,t3021501,2019
d2731780,t3021502,2019
d2731780,t3021503,2019
d2731780,t3021504,2019
d2731780,t3021505,2019
d2714260,t3021601,2019
d2731780,t3021601,2019
d2731780,t3021602,2019
d2714260,t3021700,2019
d2731780,t3021700,2019
d2714260,t3021800,2019
d2714260,t3021900,2019
d2733780,t3021900,2019
d2733780,t3022000,2019
d2733780,t3022101,2019
d2733780,t3022102,2019
d2714260,t3022200,2019
d2733780,t3022200,2019
d2733780,t3022301,2019
d2714260,t3022302,2019
d2733780,t3022302,2019
d2733780,t3022400,2019
d2733780,t3022700,2019
d2733780,t3022801,2019
d2733780,t3022802,2019
d2733780,t3022901,2019
d2733780,t3022902,2019
d2714260,t3023000,2019
d2733780,t3023000,2019
d2711250,t3023100,2019
d2733780,t3023100,2019
d2714260,t3023200,2019
d2733780,t3023200,2019
d2714260,t3023300,2019
d2714260,t3023400,2019
d2711250,t3023501,2019
d2714260,t3023501,2019
d2733780,t3023501,2019
d2711250,t3023502,2019
d2714260,t3023502,2019
d2711250,t3023600,2019
d2711250,t3023700,2019
d2711250,t3023801,2019
d2711250,t3023802,2019
d2731750,t3023802,2019
d2711250,t3023901,2019
d2711250,t3023902,2019
d2714220,t3023902,2019
d2711250,t3023903,2019
d2714220,t3023903,2019
d2711250,t3024003,2019
d2711250,t3024004,2019
d2731750,t3024004,2019
d2711250,t3024005,2019
d2731750,t3024005,2019
d2711250,t3024006,2019
d2731750,t3024006,2019
d2731750,t3024100,2019
d2731750,t3024200,2019
d2731750,t3024300,2019
d2731750,t3024400,2019
d2731750,t3024500,2019
d2731750,t3024600,2019
d2731750,t3024700,2019
d2731750,t3024801,2019
d2705790,t3024802,2019
d2731750,t3024802,2019
d2731750,t3024901,2019
d2731750,t3024902,2019
d2705790,t3024903,2019
d2731750,t3024903,2019
d2705790,t3025100,2019
d2705790,t3025201,2019
d2705790,t3025205,2019
d2705790,t3025301,2019
d2705790,t3025302,2019
d2705790,t3025401,2019
d2705790,t3025403,2019
d2705790,t3025601,2019
d2705790,t3025603,2019
d2705790,t3025605,2019
d2705790,t3025701,2019
d2705790,t3025702,2019
d2705790,t3025801,2019
d2705790,t3025802,2019
d2705790,t3025803,2019
d2705790,t3025805,2019
d2705790,t3025903,2019
d2711250,t3025903,2019
d2705790,t3025905,2019
d2711250,t3025905,2019
d2714220,t3025905,2019
d2705790,t3025906,2019
d2705790,t3025907,2019
d2714220,t3026005,2019
d2714260,t3026005,2019
d2714220,t3026006,2019
d2714220,t3026007,2019
d2714260,t3026007,2019
d2711670,t3026013,2019
d2714220,t3026013,2019
d2714260,t3026013,2019
d2708190,t3026014,2019
d2711670,t3026014,2019
d2714220,t3026014,2019
d2714220,t3026015,2019
d2714220,t3026016,2019
d2714220,t3026018,2019
d2714220,t3026019,2019
d2714220,t3026020,2019
d2714220,t3026021,2019
d2714220,t3026022,2019
d2714260,t3026101,2019
d2714260,t3026103,2019
d2714260,t3026104,2019
d2711670,t3026201,2019
d2711670,t3026202,2019
d2714260,t3026202,2019
d2711670,t3026205,2019
d2714260,t3026205,2019
d2714260,t3026206,2019
d2711670,t3026207,2019
d2711670,t3026208,2019
d2714260,t3026208,2019
d2714260,t3026301,2019
d2742160,t3026301,2019
d2711670,t3026302,2019
d2714260,t3026302,2019
d2742160,t3026302,2019
d2714260,t3026402,2019
d2733780,t3026402,2019
d2714260,t3026403,2019
d2742160,t3026403,2019
d2714260,t3026404,2019
d2742160,t3026404,2019
d2731780,t3026505,2019
d2742160,t3026505,2019
d2714260,t3026507,2019
d2742160,t3026507,2019
d2725200,t3026508,2019
d2731780,t3026508,2019
d2725200,t3026509,2019
d2731780,t3026509,2019
d2725200,t3026510,2019
d2731780,t3026510,2019
d2731780,t3026511,2019
d2714260,t3026512,2019
d2731780,t3026512,2019
d2742160,t3026512,2019
d2731780,t3026514,2019
d2742160,t3026514,2019
d2742160,t3026605,2019
d2742160,t3026606,2019
d2742160,t3026609,2019
d2742160,t3026610,2019
d2742160,t3026611,2019
d2725200,t3026612,2019
d2731780,t3026612,2019
d2742160,t3026612,2019
d2742160,t3026613,2019
d2725200,t3026702,2019
d2725200,t3026706,2019
d2703180,t3026707,2019
d2725200,t3026707,2019
d2725200,t3026708,2019
d2725200,t3026710,2019
d2725200,t3026711,2019
d2725200,t3026712,2019
d2725200,t3026713,2019
d2725200,t3026714,2019
d2725200,t3026715,2019
d2732070,t3026715,2019
d2742160,t3026715,2019
d2725200,t3026716,2019
d2725200,t3026807,2019
d2731780,t3026807,2019
d2725200,t3026809,2019
d2731780,t3026809,2019
d2725200,t3026810,2019
d2703180,t3026811,2019
d2725200,t3026811,2019
d2703180,t3026812,2019
d2725200,t3026812,2019
d2703180,t3026814,2019
d2725200,t3026814,2019
d2703180,t3026815,2019
d2725200,t3026816,2019
d2725200,t3026818,2019
d2725200,t3026819,2019
d2703180,t3026820,2019
d2725200,t3026820,2019
d2703180,t3026822,2019
d2725200,t3026822,2019
d2703180,t3026823,2019
d2725200,t3026823,2019
d2703180,t3026903,2019
d2703180,t3026906,2019
d2703180,t3026907,2019
d2703180,t3026908,2019
d2707200,t3026909,2019
d2711370,t3026909,2019
d2725200,t3026909,2019
d2703180,t3026910,2019
d2711370,t3026910,2019
d2725200,t3026910,2019
d2707200,t3027001,2019
d2710170,t3027001,2019
d2732070,t3027001,2019
d2710170,t3027002,2019
d2722920,t3027002,2019
d2725080,t3027002,2019
d2732070,t3027002,2019
d2710170,t3027101,2019
d2725080,t3027101,2019
d2732070,t3027101,2019
d2742160,t3027101,2019
d2707200,t3027102,2019
d2710170,t3027102,2019
d2725200,t3027102,2019
d2732070,t3027102,2019
d2742160,t3027102,2019
d2722920,t3027201,2019
d2725080,t3027201,2019
d2742160,t3027201,2019
d2725080,t3027202,2019
d2711670,t3027203,2019
d2722920,t3027203,2019
d2725080,t3027203,2019
d2725080,t3027300,2019
d2742160,t3027300,2019
d2711670,t3027400,2019
d2742160,t3027400,2019
d2711670,t3027501,2019
d2711670,t3027503,2019
d2722920,t3027503,2019
d2711670,t3027504,2019
d2722920,t3027601,2019
d2722920,t3027602,2019
d2710170,t3027700,2019
d2722920,t3027700,2019
d2741460,t3027700,2019
d2741910,t3027700,2019
d2721240,t3100200,2019
d2731780,t3100200,2019
d2721240,t3100400,2019
d2721240,t3100500,2019
d2721240,t3100700,2019
d2721240,t3100800,2019
d2721240,t3100900,2019
d2721240,t3101200,2019
d2721240,t3101300,2019
d2721240,t3101600,2019
d2721240,t3101800,2019
d2721240,t3101900,2019
d2721240,t3102000,2019
d2721240,t3102100,2019
d2721240,t3102300,2019
d2721240,t3102500,2019
d2721240,t3102600,2019
d2721240,t3102800,2019
d2721240,t3102900,2019
d2721240,t3103000,2019
d2721240,t3103100,2019
d2721240,t3103400,2019
d2721240,t3103600,2019
d2721240,t3103700,2019
d2721240,t3103900,2019
d2721240,t3104000,2019
d2721240,t3104100,2019
d2721240,t3104400,2019
d2721240,t3104800,2019
d2721240,t3104900,2019
d2721240,t3105100,2019
d2721240,t3105201,2019
d2721240,t3105204,2019
d2721240,t3105400,2019
d2721240,t3105500,2019
d2721240,t3105600,2019
d2721240,t3105700,2019
d2721240,t3106000,2019
d2721240,t3106200,2019
d2721240,t3106400,2019
d2721240,t3106500,2019
d2721240,t3106600,2019
d2721240,t3106700,2019
d2721240,t3106900,2019
d2721240,t3107000,2019
d2721240,t3107400,2019
d2721240,t3107500,2019
d2721240,t3107600,2019
d2721240,t3108000,2019
d2721240,t3108600,2019
