name,date,total_pop,median_age,male_perc,female_perc,white_perc,black_perc,asian_perc,other_perc,employed_perc,unemployed_perc,income_below_poverty_perc,income_median,income_mean,k_12_perc,college_undergrad_perc,total_pop_above_25_w_bach_degree_perc,stem_degree_perc,stem_related_degree_perc,business_degree_perc,education_degree_perc,humanities_degree_perc,healthInsured_perc,mean_travel_work,occupied_housing_units,owned_housing_units,rented_housing_units,life_expectancy,total_enrolled_SNAP,asian_SNAP_enrollment_perc,black_SNAP_enrollment_perc,other_SNAP_enrollment_perc,white_SNAP_enrollment_perc,hdi_index,num_households,single_parent_households,mobile_home_households,no_HS_diploma_households,no_vehicle_households,limited_english_households,eviction_filings,eviction_rate_perc,hl_binge_drinking_prev,hl_high_blood_pressure_prev,hl_cancer_prev,hl_asthma_prev,hl_heart_disease_prev,hl_doctor_visits_prev,hl_smoking_prev,hl_dentist_visits_prev,hl_kidney_disease_prev,hl_poor_mental_health_prev,hl_obesity_prev,hl_poor_sleep_prev,hl_stroke_prev,hs_subsidized_units,hl_VA_health_coverage,hl_public_coverage,hl_medicare_coverage,hl_private_coverage,inc_no_internet_households,inc_internet_households,hs_median_rent,acs_SNAP_household_total,acs_SNAP_household_white,acs_SNAP_household_black,acs_SNAP_household_Asian
t3000603,2018,2845.0,37.0,54.0,46.0,91.0,1.0,1.0,3.0,78.0,0.0,7.0,76818.0,93106.0,52.0,21.0,1072.0,39.0,7.0,19.0,10.0,26.0,97.0,24.0,1236.0,1094.0,142.0,79.0,820.0,,30.0,9.0,59.0,5.73,,,,,,,,,24.9,21.3,6.4,7.1,4.0,67.7,12.6,80.5,2.2,8.6,23.1,26.7,2.0,7.0,61.0,314.0,327.0,2434.0,218.0,2619.0,1081.0,13.0,13.0,0.0,0.0
t3000603,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3001100,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3001100,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3001100,2018,2101.0,33.0,51.0,49.0,74.0,10.0,1.0,7.0,77.0,3.0,17.0,65167.0,74052.0,62.0,26.0,644.0,41.0,2.0,19.0,8.0,30.0,98.0,24.0,902.0,505.0,397.0,77.0,1610.0,,49.0,16.0,34.0,5.24,902.0,79.0,0.0,147.0,126.0,33.0,,,26.0,18.5,4.5,8.0,3.2,64.4,15.8,72.6,2.0,10.8,25.0,29.9,1.8,33.0,20.0,380.0,231.0,1538.0,262.0,1802.0,918.0,62.0,45.0,17.0,0.0
t3001100,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3001700,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3001700,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3001700,2018,2230.0,30.0,52.0,48.0,61.0,25.0,1.0,8.0,72.0,4.0,21.0,45819.0,64834.0,54.0,27.0,612.0,44.0,8.0,10.0,6.0,33.0,93.0,22.0,955.0,456.0,499.0,77.0,4423.0,,85.0,0.0,13.0,4.39,955.0,113.0,0.0,184.0,159.0,132.0,11.0,36.0,23.4,21.7,4.4,8.4,3.8,66.0,17.7,67.0,2.4,11.9,28.8,32.2,2.3,143.0,33.0,788.0,133.0,1236.0,438.0,1792.0,898.0,235.0,80.0,155.0,0.0
t3001700,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,
