name,date,total_pop,median_age,male_perc,female_perc,white_perc,black_perc,asian_perc,other_perc,employed_perc,unemployed_perc,income_below_poverty_perc,income_median,income_mean,k_12_perc,college_undergrad_perc,total_pop_above_25_w_bach_degree_perc,stem_degree_perc,stem_related_degree_perc,business_degree_perc,education_degree_perc,humanities_degree_perc,healthInsured_perc,mean_travel_work,occupied_housing_units,owned_housing_units,rented_housing_units,life_expectancy,total_enrolled_SNAP,asian_SNAP_enrollment_perc,black_SNAP_enrollment_perc,other_SNAP_enrollment_perc,white_SNAP_enrollment_perc,hdi_index,num_households,single_parent_households,mobile_home_households,no_HS_diploma_households,no_vehicle_households,limited_english_households,eviction_filings,eviction_rate_perc,hl_binge_drinking_prev,hl_high_blood_pressure_prev,hl_cancer_prev,hl_asthma_prev,hl_heart_disease_prev,hl_doctor_visits_prev,hl_smoking_prev,hl_dentist_visits_prev,hl_kidney_disease_prev,hl_poor_mental_health_prev,hl_obesity_prev,hl_poor_sleep_prev,hl_stroke_prev,hs_subsidized_units,hl_VA_health_coverage,hl_public_coverage,hl_medicare_coverage,hl_private_coverage,inc_no_internet_households,inc_internet_households,hs_median_rent,acs_SNAP_household_total,acs_SNAP_household_white,acs_SNAP_household_black,acs_SNAP_household_Asian
t3008300,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3008300,2018,2027.0,27.0,57.0,43.0,33.0,30.0,1.0,28.0,67.0,5.0,27.0,51964.0,66286.0,62.0,20.0,276.0,40.0,4.0,6.0,11.0,39.0,88.0,21.0,601.0,224.0,377.0,,3099.0,0.0,61.0,24.0,13.0,,601.0,169.0,0.0,307.0,99.0,268.0,12.0,42.0,22.4,21.8,3.0,9.0,3.8,62.7,22.9,48.5,2.6,15.2,33.3,36.0,2.5,53.0,28.0,954.0,132.0,787.0,310.0,1641.0,822.0,164.0,24.0,107.0,0.0
t3008300,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3008400,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3008400,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3008400,2018,2962.0,31.0,54.0,46.0,41.0,29.0,2.0,24.0,72.0,5.0,20.0,51375.0,71262.0,75.0,16.0,460.0,32.0,13.0,16.0,5.0,33.0,77.0,25.0,784.0,369.0,415.0,76.0,3924.0,,55.0,23.0,21.0,3.35,784.0,71.0,0.0,459.0,145.0,432.0,11.0,27.0,24.0,20.5,3.2,8.1,3.3,63.8,18.9,58.0,2.3,12.7,30.4,33.8,2.1,40.0,27.0,998.0,137.0,1165.0,589.0,2240.0,992.0,154.0,48.0,62.0,0.0
t3008400,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3008500,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3008500,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3008500,2018,5126.0,28.0,50.0,51.0,45.0,21.0,1.0,30.0,75.0,6.0,25.0,47549.0,62425.0,77.0,16.0,997.0,22.0,9.0,7.0,14.0,48.0,79.0,24.0,1551.0,545.0,1006.0,78.0,4733.0,,45.0,29.0,24.0,3.59,1551.0,269.0,10.0,977.0,242.0,801.0,12.0,42.0,22.6,20.9,3.5,8.9,3.7,62.5,21.9,60.0,2.5,14.6,31.5,32.8,2.3,54.0,49.0,1822.0,268.0,2156.0,1359.0,3767.0,929.0,340.0,122.0,154.0,0.0
t3008500,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3009500,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3009500,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3009500,2018,3028.0,33.0,54.0,46.0,48.0,22.0,1.0,22.0,69.0,9.0,23.0,63690.0,70821.0,57.0,23.0,736.0,28.0,6.0,17.0,10.0,39.0,85.0,23.0,1048.0,641.0,407.0,80.0,3609.0,0.0,54.0,32.0,12.0,4.7,1048.0,121.0,0.0,429.0,53.0,338.0,10.0,30.0,22.7,22.0,3.7,8.3,3.6,65.2,18.0,59.2,2.5,12.4,31.0,33.8,2.3,39.0,18.0,1066.0,336.0,1383.0,770.0,2243.0,1037.0,135.0,15.0,88.0,15.0
t3009500,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3009600,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3009600,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3009600,2018,3763.0,33.0,53.0,48.0,73.0,16.0,3.0,2.0,73.0,5.0,9.0,67778.0,78965.0,63.0,14.0,1301.0,35.0,8.0,12.0,8.0,37.0,94.0,23.0,1388.0,955.0,433.0,77.0,2065.0,,55.0,13.0,31.0,4.77,1388.0,96.0,12.0,191.0,94.0,51.0,,,24.4,20.7,4.7,7.8,3.2,66.8,14.3,72.3,2.1,9.8,26.5,30.5,1.9,25.0,79.0,528.0,231.0,2946.0,349.0,3375.0,978.0,204.0,115.0,76.0,0.0
t3009600,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3010600,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3010600,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3010600,2018,2914.0,43.0,52.0,49.0,93.0,2.0,2.0,0.0,74.0,2.0,2.0,123472.0,199178.0,72.0,13.0,1602.0,40.0,8.0,13.0,8.0,32.0,99.0,23.0,1155.0,895.0,260.0,84.0,,,,,,8.66,1155.0,35.0,0.0,27.0,8.0,22.0,,,24.0,20.4,6.5,6.9,3.4,69.4,9.2,86.1,2.0,7.3,21.9,24.7,1.7,-1.0,68.0,212.0,412.0,2631.0,73.0,2822.0,1480.0,28.0,28.0,0.0,0.0
t3010600,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3010700,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3010700,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3010700,2018,2545.0,40.0,46.0,54.0,88.0,2.0,2.0,1.0,75.0,4.0,5.0,121583.0,184035.0,75.0,3.0,1220.0,36.0,6.0,15.0,8.0,36.0,97.0,25.0,950.0,745.0,205.0,81.0,64.0,,,,100.0,8.1,950.0,92.0,31.0,13.0,15.0,6.0,,,24.2,20.5,6.3,7.1,3.5,68.7,10.2,83.9,2.0,7.8,22.5,25.6,1.8,-1.0,38.0,264.0,307.0,2182.0,133.0,2401.0,1225.0,11.0,11.0,0.0,0.0
t3010700,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011000,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011000,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011000,2018,3742.0,37.0,50.0,50.0,77.0,9.0,1.0,2.0,73.0,2.0,3.0,77759.0,94388.0,63.0,12.0,1668.0,35.0,5.0,16.0,10.0,33.0,91.0,26.0,1490.0,1234.0,256.0,86.0,1791.0,,38.0,29.0,31.0,6.98,1490.0,81.0,0.0,125.0,105.0,71.0,,,25.1,19.8,5.5,7.4,3.3,67.2,12.2,79.0,2.0,8.7,23.6,27.9,1.8,11.0,55.0,646.0,473.0,2661.0,296.0,3340.0,945.0,67.0,39.0,0.0,0.0
t3011000,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011703,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011703,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011703,2018,4286.0,40.0,45.0,55.0,89.0,1.0,1.0,0.0,76.0,1.0,2.0,117237.0,134233.0,64.0,13.0,2151.0,37.0,4.0,18.0,11.0,32.0,98.0,22.0,1664.0,1557.0,107.0,85.0,328.0,,27.0,,72.0,7.48,1664.0,111.0,0.0,40.0,28.0,0.0,,,24.8,20.0,6.2,7.1,3.3,68.3,10.4,82.3,2.0,7.8,22.5,26.4,1.7,6.0,53.0,232.0,525.0,3970.0,211.0,4058.0,1115.0,32.0,17.0,0.0,0.0
t3011703,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011704,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011704,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011704,2018,3219.0,40.0,48.0,52.0,89.0,5.0,1.0,1.0,80.0,1.0,2.0,104934.0,122201.0,75.0,12.0,1409.0,32.0,14.0,15.0,8.0,32.0,98.0,24.0,1247.0,1147.0,100.0,81.0,385.0,,15.0,16.0,67.0,7.09,1247.0,30.0,0.0,67.0,35.0,40.0,,,24.6,20.9,6.3,7.1,3.5,68.8,10.8,82.2,2.1,7.9,22.8,26.7,1.9,6.0,47.0,230.0,384.0,2907.0,128.0,3086.0,1298.0,9.0,9.0,0.0,0.0
t3011704,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011800,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011800,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011800,2018,4893.0,36.0,48.0,52.0,90.0,3.0,1.0,1.0,76.0,0.0,3.0,89554.0,103161.0,66.0,16.0,2268.0,30.0,6.0,13.0,6.0,45.0,97.0,23.0,2062.0,1896.0,166.0,79.0,1005.0,,45.0,5.0,48.0,6.3,2062.0,34.0,19.0,78.0,49.0,0.0,,,25.1,20.1,6.1,7.4,3.5,67.6,12.0,80.8,2.0,8.5,22.8,26.7,1.8,12.0,110.0,281.0,633.0,4444.0,210.0,4625.0,1336.0,81.0,81.0,0.0,0.0
t3011800,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011998,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011998,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3011998,2018,4123.0,41.0,47.0,53.0,81.0,10.0,2.0,0.0,69.0,5.0,6.0,64028.0,76639.0,56.0,20.0,1503.0,45.0,6.0,10.0,7.0,33.0,97.0,24.0,1947.0,1488.0,459.0,88.0,1689.0,,50.0,5.0,44.0,7.04,1947.0,112.0,22.0,90.0,243.0,20.0,,,23.7,22.7,6.8,7.4,4.2,68.6,13.0,76.7,2.4,8.9,23.9,28.1,2.2,70.0,107.0,610.0,788.0,3320.0,412.0,3694.0,1086.0,144.0,33.0,83.0,0.0
t3011998,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3012001,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3012001,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3012001,2018,5904.0,38.0,51.0,49.0,84.0,3.0,7.0,4.0,76.0,5.0,7.0,90179.0,105083.0,67.0,18.0,2437.0,35.0,8.0,14.0,8.0,37.0,96.0,24.0,2399.0,2034.0,365.0,82.0,1141.0,,61.0,,38.0,6.85,2399.0,167.0,68.0,227.0,73.0,164.0,,,23.8,21.7,6.4,7.4,4.0,68.0,12.8,78.6,2.3,8.9,23.6,27.4,2.1,30.0,72.0,554.0,778.0,5024.0,363.0,5534.0,975.0,55.0,55.0,0.0,0.0
t3012001,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3012003,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3012003,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3012003,2018,5759.0,33.0,51.0,49.0,61.0,19.0,4.0,9.0,67.0,1.0,18.0,59898.0,82237.0,73.0,17.0,1507.0,25.0,6.0,12.0,11.0,46.0,94.0,20.0,2078.0,1246.0,832.0,78.0,5947.0,0.0,66.0,14.0,18.0,5.41,2078.0,193.0,0.0,338.0,204.0,154.0,31.0,55.0,22.4,23.6,5.4,8.4,4.2,68.1,16.1,70.5,2.5,11.1,27.9,30.6,2.5,164.0,269.0,1144.0,749.0,4083.0,373.0,5339.0,1019.0,298.0,117.0,65.0,29.0
t3012003,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3012101,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3012101,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3012101,2018,3037.0,33.0,52.0,48.0,65.0,12.0,2.0,10.0,80.0,2.0,19.0,54792.0,66000.0,68.0,24.0,853.0,36.0,8.0,16.0,6.0,35.0,92.0,23.0,1313.0,706.0,607.0,79.0,5041.0,,56.0,25.0,17.0,4.75,1313.0,108.0,0.0,204.0,230.0,203.0,15.0,60.0,23.3,21.6,4.6,8.0,3.7,66.1,16.4,68.2,2.3,11.2,28.5,31.5,2.2,104.0,120.0,774.0,283.0,1942.0,644.0,2366.0,799.0,123.0,74.0,12.0,0.0
t3012101,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3012102,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3012102,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3012102,2018,2805.0,39.0,48.0,52.0,78.0,9.0,3.0,3.0,75.0,2.0,4.0,74653.0,81051.0,64.0,25.0,961.0,38.0,9.0,14.0,5.0,34.0,95.0,25.0,1334.0,998.0,336.0,81.0,1697.0,,48.0,14.0,36.0,5.43,1334.0,97.0,0.0,83.0,97.0,6.0,,,25.1,21.3,6.0,7.3,3.8,67.8,12.9,78.8,2.1,8.8,23.8,28.1,2.0,32.0,119.0,363.0,356.0,2277.0,275.0,2503.0,925.0,79.0,79.0,0.0,0.0
t3012102,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020101,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020101,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020101,2018,3373.0,42.0,52.0,48.0,81.0,3.0,3.0,0.0,69.0,1.0,4.0,100368.0,113028.0,71.0,11.0,1161.0,42.0,11.0,19.0,7.0,22.0,99.0,20.0,1220.0,1134.0,86.0,84.0,212.0,,,,100.0,6.88,1220.0,63.0,0.0,147.0,8.0,18.0,,,,,,,,,,,,,,,,4.0,53.0,527.0,653.0,2758.0,465.0,2893.0,1575.0,34.0,34.0,0.0,0.0
t3020101,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020102,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020102,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020102,2018,2236.0,44.0,47.0,53.0,96.0,0.0,2.0,0.0,65.0,2.0,2.0,66635.0,83324.0,51.0,15.0,791.0,47.0,9.0,9.0,12.0,23.0,97.0,19.0,1040.0,725.0,315.0,82.0,463.0,,5.0,,94.0,6.41,1040.0,20.0,54.0,30.0,136.0,7.0,,,,,,,,,,,,,,,,47.0,62.0,199.0,595.0,1904.0,300.0,1929.0,1096.0,45.0,45.0,0.0,0.0
t3020102,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020200,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020200,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020200,2018,7645.0,29.0,47.0,53.0,36.0,40.0,11.0,10.0,75.0,2.0,18.0,39267.0,53756.0,71.0,20.0,1017.0,36.0,16.0,20.0,11.0,17.0,90.0,24.0,2619.0,1068.0,1551.0,79.0,11211.0,14.0,61.0,13.0,11.0,3.59,2619.0,528.0,17.0,919.0,408.0,359.0,44.0,32.0,,,,,,,,,,,,,,139.0,97.0,2467.0,745.0,4115.0,1475.0,6116.0,893.0,806.0,146.0,589.0,33.0
t3020200,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020301,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020301,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020301,2018,2573.0,32.0,52.0,49.0,46.0,30.0,17.0,3.0,73.0,3.0,10.0,58750.0,76337.0,69.0,20.0,283.0,26.0,15.0,26.0,9.0,25.0,91.0,28.0,850.0,685.0,165.0,77.0,3665.0,23.0,46.0,11.0,18.0,3.86,850.0,155.0,0.0,188.0,26.0,117.0,19.0,47.0,,,,,,,,,,,,,,25.0,83.0,790.0,386.0,1525.0,419.0,2141.0,1173.0,106.0,47.0,41.0,4.0
t3020301,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020302,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020302,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020302,2018,2517.0,32.0,44.0,56.0,37.0,41.0,18.0,1.0,64.0,6.0,15.0,50000.0,56773.0,70.0,22.0,323.0,38.0,15.0,14.0,10.0,24.0,94.0,23.0,911.0,584.0,327.0,73.0,3980.0,18.0,69.0,5.0,7.0,3.66,911.0,191.0,0.0,202.0,107.0,85.0,13.0,46.0,,,,,,,,,,,,,,126.0,63.0,769.0,303.0,1443.0,471.0,1946.0,940.0,130.0,28.0,89.0,5.0
t3020302,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020303,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020303,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020303,2018,3420.0,34.0,51.0,49.0,46.0,17.0,30.0,5.0,66.0,5.0,10.0,58750.0,73545.0,71.0,26.0,344.0,48.0,2.0,15.0,7.0,28.0,95.0,22.0,1080.0,879.0,201.0,76.0,4874.0,51.0,24.0,11.0,12.0,3.34,1080.0,144.0,0.0,419.0,51.0,227.0,10.0,40.0,,,,,,,,,,,,,,35.0,61.0,838.0,481.0,2361.0,522.0,2884.0,1272.0,161.0,35.0,52.0,30.0
t3020303,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020304,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020304,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020304,2018,3881.0,31.0,46.0,54.0,36.0,18.0,28.0,12.0,71.0,3.0,17.0,48600.0,62456.0,79.0,14.0,517.0,39.0,7.0,18.0,13.0,23.0,82.0,27.0,1152.0,733.0,419.0,80.0,4277.0,36.0,34.0,15.0,13.0,3.02,1152.0,191.0,0.0,720.0,64.0,356.0,16.0,38.0,,,,,,,,,,,,,,17.0,96.0,865.0,444.0,2286.0,719.0,3108.0,917.0,224.0,66.0,51.0,57.0
t3020304,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020400,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020400,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020400,2018,5131.0,34.0,47.0,53.0,50.0,26.0,13.0,9.0,66.0,7.0,21.0,51473.0,62212.0,71.0,23.0,804.0,27.0,8.0,18.0,21.0,26.0,92.0,24.0,1871.0,963.0,908.0,78.0,7074.0,15.0,53.0,12.0,18.0,4.75,1871.0,246.0,0.0,403.0,119.0,204.0,51.0,53.0,,,,,,,,,,,,,,141.0,149.0,1155.0,695.0,3373.0,677.0,4404.0,887.0,333.0,107.0,174.0,10.0
t3020400,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020500,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020500,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020500,2018,3605.0,35.0,51.0,49.0,64.0,16.0,15.0,2.0,65.0,5.0,17.0,59963.0,76171.0,68.0,16.0,495.0,19.0,27.0,20.0,7.0,28.0,86.0,22.0,1210.0,965.0,245.0,78.0,5132.0,21.0,44.0,19.0,15.0,3.94,1210.0,144.0,0.0,305.0,51.0,197.0,12.0,67.0,,,,,,,,,,,,,,23.0,114.0,839.0,407.0,2205.0,609.0,2971.0,1209.0,181.0,50.0,85.0,36.0
t3020500,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020600,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020600,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020600,2018,2127.0,36.0,48.0,53.0,56.0,18.0,20.0,1.0,61.0,4.0,28.0,50366.0,72725.0,76.0,16.0,251.0,26.0,16.0,30.0,12.0,16.0,96.0,24.0,773.0,545.0,228.0,80.0,2680.0,28.0,42.0,7.0,21.0,4.84,773.0,99.0,6.0,171.0,63.0,102.0,,,,,,,,,,,,,,,,21.0,40.0,662.0,392.0,1293.0,471.0,1626.0,1156.0,109.0,40.0,58.0,11.0
t3020600,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020700,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020700,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3020700,2018,4226.0,39.0,52.0,48.0,81.0,10.0,3.0,3.0,69.0,5.0,10.0,68199.0,80569.0,58.0,28.0,815.0,36.0,10.0,18.0,13.0,23.0,96.0,24.0,1710.0,1390.0,320.0,79.0,3178.0,8.0,48.0,15.0,27.0,5.07,1710.0,164.0,0.0,93.0,93.0,74.0,,,,,,,,,,,,,,,,19.0,41.0,1009.0,692.0,2968.0,264.0,3899.0,1115.0,165.0,145.0,20.0,0.0
t3020700,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020801,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3020801,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
