cityId1,cityId2,date
c5343306,c5360016,2019
c5343306,c5330842,2019
c5343306,c5344476,2019
c5343306,c5348580,2019
c5348580,c5368818,2019
c5348580,c5343270,2019
c5348580,c5330842,2019
c5348580,c5351730,2019
c5348580,c5341480,2019
c5348580,c5338006,2019
c5348580,c5344476,2019
c5348580,c5360016,2019
c5325622,c5330842,2019
c5325622,c5341480,2019
c5325622,c5313168,2019
c5341480,c5330842,2019
c5341480,c5340166,2019
c5341480,c5351730,2019
c5341480,c5313168,2019
c5330140,c5318188,2019
c5330140,c5343252,2019
c5330140,c5357220,2019
c5315022,c5340166,2019
c5315022,c5355186,2019
c5315022,c5313168,2019
c5315022,c5310846,2019
c5318188,c5343000,2019
c5318188,c5343252,2019
c5318188,c5318116,2019
c5318188,c5357220,2019
c5318188,c5306616,2019
c5318188,c5354214,2019
c5354214,c5343000,2019
c5354214,c5306616,2019
c5330842,c5313168,2019
c5343000,c5354808,2019
c5343000,c5357220,2019
c5343000,c5324308,2019
c5343000,c5356680,2019
c5343000,c5307948,2019
c5355186,c5340166,2019
c5355186,c5313168,2019
c5314158,c5307966,2019
c5314158,c5324308,2019
c5314158,c5307948,2019
c5314158,c5354808,2019
c5314158,c5345628,2019
c5344476,c5360016,2019
c5368818,c5360016,2019
c5368818,c5351730,2019
c5368818,c5343252,2019
c5306616,c5318116,2019
c5343252,c5315148,2019
c5343252,c5360016,2019
c5343252,c5351730,2019
c5343252,c5318116,2019
c5343252,c5357220,2019
c5313168,c5340166,2019
c5360016,c5320078,2019
c5360016,c5315148,2019
c5345628,c5340166,2019
c5345628,c5307966,2019
c5345628,c5324308,2019
c5345628,c5351730,2019
c5307948,c5354808,2019
c5307948,c5307966,2019
c5349012,c5340166,2019
c5349012,c5307966,2019
c5307966,c5340166,2019
c5307966,c5351730,2019
c5307966,c5310846,2019
c5351730,c5340166,2019
c5351730,c5324308,2019
c5351730,c5357220,2019
c5357220,c5324308,2019
c5310846,c5340166,2019
c5354808,c5324308,2019
c5343306,c5360016,2018
c5343306,c5330842,2018
c5343306,c5344476,2018
c5343306,c5348580,2018
c5348580,c5368818,2018
c5348580,c5343270,2018
c5348580,c5330842,2018
c5348580,c5351730,2018
c5348580,c5341480,2018
c5348580,c5338006,2018
c5348580,c5344476,2018
c5348580,c5360016,2018
c5325622,c5330842,2018
c5325622,c5341480,2018
c5325622,c5313168,2018
c5341480,c5330842,2018
c5341480,c5340166,2018
c5341480,c5351730,2018
c5341480,c5313168,2018
c5330140,c5318188,2018
c5330140,c5343252,2018
c5330140,c5357220,2018
c5315022,c5340166,2018
c5315022,c5355186,2018
c5315022,c5313168,2018
c5315022,c5310846,2018
c5318188,c5343000,2018
c5318188,c5343252,2018
c5318188,c5318116,2018
c5318188,c5357220,2018
c5318188,c5306616,2018
c5318188,c5354214,2018
c5354214,c5343000,2018
c5354214,c5306616,2018
c5330842,c5313168,2018
c5343000,c5354808,2018
c5343000,c5357220,2018
c5343000,c5324308,2018
c5343000,c5356680,2018
c5343000,c5307948,2018
