neighborhoodId,name,longitude,latitude,date,total_cases,arson_perc,theft_perc,assault_perc,murder_perc,rape_perc
n270530108,west calhoun,-93.32,44.94,2018,22,0,100,0,0,0
n270530109,mckinley,-93.29,45.02,2018,66,2,74,21,2,2
n270530110,midtown phillips,-93.26,44.96,2018,116,0,84,8,0,8
n270530111,hale,-93.25,44.91,2018,21,0,95,5,0,0
n270530112,lyndale,-93.28,44.94,2018,130,0,91,8,0,1
n270530113,howe,-93.22,44.94,2018,67,0,91,7,0,1
n270530114,bottineau,-93.27,45.01,2018,32,0,91,9,0,0
n270530115,northrop,-93.26,44.92,2018,55,2,93,5,0,0
n270530116,lowry hill east,-93.29,44.95,2018,216,0,94,5,0,1
n270530117,university of minnesota,-93.23,44.98,2018,34,0,97,0,0,3
n270530118,stevens square - loring heights,-93.27,44.96,2018,72,0,89,11,0,0
n270530119,windom,-93.28,44.9,2018,57,0,96,4,0,0
n270530120,linden hills,-93.31,44.93,2018,39,0,95,5,0,0
n270530121,north loop,-93.28,44.98,2018,161,1,88,9,0,2
n270530122,field,-93.27,44.91,2018,23,0,96,4,0,0
n270530123,mid - city industrial,-93.22,44.99,2018,34,0,97,3,0,0
n270530124,whittier,-93.29,44.96,2018,299,0,88,9,0,3
n270530125,standish,-93.25,44.93,2018,90,0,94,2,0,3
n270530126,cedar - isles - dean,-93.33,44.95,2018,24,0,96,4,0,0
n270530127,sheridan,-93.27,45.01,2018,35,0,86,11,0,3
n270530128,powderhorn park,-93.25,44.94,2018,143,0,87,10,0,2
n270530129,loring park,-93.29,44.97,2018,185,0,88,9,0,3
n270530130,wenonah,-93.23,44.9,2018,44,2,86,11,0,0
n270530131,bancroft,-93.25,44.93,2018,26,0,100,0,0,0
n270530132,willard - hay,-93.31,44.99,2018,175,0,81,15,1,3
n270530133,st. anthony east,-93.26,45,2018,24,0,83,17,0,0
n270530134,king field,-93.28,44.92,2018,90,0,96,3,1,0
n270530135,diamond lake,-93.27,44.89,2018,29,0,97,3,0,0
n270530136,nicollet island - east bank,-93.26,44.99,2018,48,0,94,4,0,2
n270530137,cleveland,-93.32,45.02,2018,66,2,83,12,0,3
n270530138,bryant,-93.26,44.93,2018,40,0,98,2,0,0
n270530139,folwell,-93.29,45.02,2018,136,0,71,27,1,1
n270530140,tangletown,-93.28,44.91,2018,33,3,94,3,0,0
n270530141,phillips west,-93.27,44.96,2018,88,1,85,10,0,3
n270530142,beltrami,-93.24,45,2018,14,0,86,14,0,0
n270530143,fulton,-93.31,44.91,2018,41,0,95,5,0,0
n270530144,east phillips,-93.25,44.96,2018,118,2,78,19,1,0
n270530145,prospect park - east river road,-93.21,44.97,2018,121,0,93,6,0,1
n270530146,marcy holmes,-93.25,44.99,2018,241,0,95,2,0,1
n270530147,longfellow,-93.22,44.95,2018,247,0,94,4,0,2
n270530148,carag,-93.29,44.94,2018,133,0,92,6,0,2
n270530149,shingle creek,-93.32,45.05,2018,52,0,90,10,0,0
n270530150,corcoran,-93.24,44.95,2018,70,0,96,4,0,0
n270530151,humboldt industrial area,-93.3,45.04,2018,1,0,100,0,0,0
n270530152,bryn - mawr,-93.31,44.98,2018,24,0,92,8,0,0
n270530153,kenny,-93.3,44.9,2018,21,0,100,0,0,0
n270530154,northeast park,-93.24,45,2018,55,0,96,2,0,2
n270530155,camden industrial,-93.28,45.02,2018,5,0,100,0,0,0
n270530156,waite park,-93.24,45.03,2018,39,0,95,0,0,5
n270530157,como,-93.22,44.99,2018,94,0,93,5,0,2
n270530158,victory,-93.31,45.03,2018,48,0,92,6,0,2
n270530159,cedar riverside,-93.24,44.97,2018,120,0,94,3,0,2
n270530160,east harriet,-93.29,44.94,2018,38,0,100,0,0,0
n270530161,ecco,-93.3,44.95,2018,74,0,97,1,0,1
n270530162,windom park,-93.25,45,2018,52,2,81,12,0,6
n270530163,lynnhurst,-93.3,44.91,2018,37,0,95,3,0,3
n270530164,jordan,-93.29,45,2018,218,2,78,17,0,3
n270530165,lowry hill,-93.29,44.96,2018,36,0,94,3,0,3
n270530166,harrison,-93.3,44.98,2018,77,0,84,14,0,1
n270530167,logan park,-93.25,45.01,2018,30,0,87,13,0,0
