name,total_pop,median_age,male_perc,female_perc,white_perc,black_perc,asian_perc,other_perc,employed_perc,unemployed_perc,income_below_poverty_perc,income_median,income_mean,k_12_perc,college_undergrad_perc,total_pop_above_25_w_bach_degree_perc,stem_degree_perc,stem_related_degree_perc,business_degree_perc,education_degree_perc,humanities_degree_perc,healthInsured_perc,households_on_SNAP_perc,mean_travel_work,occupied_housing_units,owned_housing_units,rented_housing_units
t3026807,5700,38,48,52,58,26,6,6,67,4,11,57277,72496,76,21,1085,23,10,12,18,37,93,23,23,2334,1515,819
t3026809,5527,29,45,55,34,42,12,8,72,6,19,39529,49519,63,25,454,43,4,34,5,14,82,24,27,1845,398,1447
t3026810,5503,30,45,55,35,52,8,0,75,2,15,39194,53366,55,38,615,14,12,35,7,32,79,22,26,2141,997,1144
t3026811,6020,33,47,53,42,29,21,2,73,2,8,73232,76075,81,10,932,39,13,19,13,16,90,11,26,1914,1500,414
t3026812,7343,37,50,50,53,21,24,0,69,2,4,82088,113884,67,18,1760,27,9,42,8,13,92,5,27,2382,2098,284
t3026814,6866,34,52,49,44,28,20,2,73,2,3,68417,72669,66,29,811,27,20,18,14,21,90,6,25,2061,1898,163
t3026815,5598,34,52,48,46,26,23,2,72,3,4,77451,83091,73,17,988,41,11,17,8,24,96,6,27,1762,1400,362
t3026816,6521,36,46,54,38,32,26,0,71,3,7,68823,74124,77,15,999,26,8,26,16,25,95,16,28,2278,1688,590
t3026818,4929,32,46,54,36,32,20,6,64,5,19,56714,63083,68,21,511,32,8,14,12,35,94,20,24,1642,1099,543
t3026819,5032,29,44,57,27,57,11,0,66,5,31,31282,42498,65,26,288,29,13,24,8,27,88,35,27,2114,478,1636
t3026820,11936,37,49,52,63,13,20,1,74,2,2,107446,123575,72,18,3458,36,8,23,16,17,97,2,28,3818,3521,297
t3026822,4573,50,48,52,70,13,13,1,65,2,4,79734,97938,66,21,1411,31,6,19,18,26,98,4,25,1757,1586,171
t3026823,4244,40,50,50,63,17,18,0,64,5,9,103861,115164,62,22,1409,31,8,28,12,21,89,2,24,1407,1385,22
t3026903,4401,39,51,49,85,8,2,2,65,5,8,67308,79453,75,14,1020,23,8,33,16,20,96,10,32,1684,1121,563
t3026906,8103,37,47,54,88,7,3,0,80,1,1,92527,99004,67,24,1624,24,11,26,13,27,99,5,27,2851,2618,233
t3026907,5705,43,50,50,86,7,3,0,70,2,7,108469,118201,79,14,1727,30,10,26,15,19,98,2,26,2080,1781,299
t3026908,6269,40,48,52,83,12,3,0,82,2,7,91141,100232,78,17,1475,25,12,25,21,17,97,4,26,2361,2183,178
t3026909,13428,38,47,53,91,0,7,0,72,2,2,120231,125228,80,12,3522,33,9,25,13,20,99,3,28,4371,3701,670
t3026910,5487,40,54,46,90,1,3,5,73,2,5,87966,106811,78,15,1223,33,6,21,20,21,92,7,28,1920,1812,108
t3027001,3530,43,49,51,96,0,1,0,69,5,6,107571,151476,79,11,864,34,8,31,14,14,95,0,29,1246,1135,111
t3027002,5595,44,49,51,93,4,0,1,63,1,5,95541,141481,82,10,1798,37,5,26,11,22,97,5,27,1931,1599,332
t3027101,6937,41,50,50,90,0,8,0,68,1,4,126629,199166,80,11,2496,43,7,28,6,16,99,2,28,2512,2315,197
t3027102,5775,44,53,47,92,0,7,0,72,3,2,102708,125029,77,10,1280,32,6,28,17,18,95,3,28,2060,1924,136
t3027201,6633,47,54,46,97,0,2,0,62,2,4,142986,258928,76,14,2819,39,9,18,10,24,98,1,26,2434,2217,217
t3027202,1768,45,52,48,94,3,0,0,66,5,6,87500,117523,80,9,564,37,5,25,11,23,98,6,20,762,504,258
t3027203,3843,52,51,49,94,2,1,0,60,2,5,75725,136570,82,11,1447,37,3,28,8,24,99,2,30,1882,1051,831
t3027300,4518,52,46,54,92,5,2,0,55,2,6,72965,141537,66,21,1959,41,6,24,10,20,96,4,22,2225,1273,952
t3027400,4271,45,48,52,98,0,1,0,64,2,4,136815,218321,76,7,2089,37,5,21,11,26,99,1,22,1623,1455,168
t3027501,4559,50,51,49,95,1,1,1,66,3,6,79421,151058,72,18,1945,35,10,26,10,19,94,6,25,2065,1230,835
t3027503,4299,45,50,50,99,0,1,0,66,2,3,124306,168594,81,8,1790,32,9,28,6,24,99,1,25,1557,1423,134
t3027504,3438,49,51,49,96,0,0,0,59,4,2,131705,198393,75,15,1670,33,7,22,14,24,100,1,30,1222,1180,42
t3027601,3950,43,51,49,94,0,2,1,71,2,6,75035,103036,65,16,1154,36,5,29,15,15,96,7,32,1786,1271,515
t3027602,5462,47,53,47,94,0,2,0,70,3,4,85288,119673,68,18,1681,37,4,30,9,20,97,6,29,2483,1830,653
t3027700,9627,44,48,52,95,1,3,0,76,2,4,130700,175505,82,7,3363,33,8,33,8,18,98,2,29,3420,3204,216
t3100200,3594,43,50,50,57,34,1,5,63,4,19,36639,48891,68,18,734,37,3,14,14,32,91,26,25,1653,1023,630
t3100400,3169,29,50,50,35,44,12,7,58,10,44,31293,44908,78,13,310,26,2,32,4,36,93,42,28,1083,467,616
t3100500,2005,37,49,51,82,9,3,1,71,2,12,45547,56479,60,16,598,37,11,15,6,31,93,12,25,938,579,359
t3100700,3126,34,46,54,44,39,8,2,74,7,8,49033,65312,74,16,587,27,21,16,17,20,90,25,25,1175,819,356
t3100800,3880,31,46,54,32,48,16,0,60,9,18,39598,47157,74,19,449,37,9,5,24,25,94,35,25,1350,669,681
t3100900,5002,30,56,45,33,42,17,1,55,5,33,44526,50954,76,11,299,47,8,5,5,34,86,39,32,1487,738,749
t3101200,4676,36,49,51,83,4,3,3,82,1,6,75821,89048,55,27,2157,41,6,10,11,32,98,3,23,2126,1652,474
t3101300,2112,25,50,50,20,46,15,9,60,10,25,40658,53817,72,24,95,28,2,16,7,46,80,45,28,586,263,323
t3101600,2560,31,60,41,24,48,15,7,58,10,28,24792,44305,80,18,218,33,3,12,13,40,92,56,36,858,312,546
t3101800,4044,31,48,52,53,13,2,17,80,4,22,48661,54115,76,9,748,37,6,12,6,39,80,23,24,1529,649,880
t3101900,2584,38,51,49,82,6,4,3,67,4,23,51179,71001,48,28,934,38,5,15,3,39,96,23,23,1436,610,826
t3102000,2796,32,53,47,37,39,17,1,68,10,19,54960,61759,73,15,394,29,9,25,11,26,92,26,26,869,531,338
t3102100,2750,22,49,51,17,43,25,4,60,6,34,39777,46946,73,20,154,31,2,5,4,58,92,45,32,691,379,312
t3102300,1463,37,55,45,16,56,19,1,47,2,35,20950,43764,86,9,270,25,5,10,3,56,92,38,18,649,244,405
t3102500,3030,32,47,53,65,14,2,13,75,2,22,49000,67844,57,27,980,32,7,18,5,38,91,22,23,1354,462,892
t3102600,1971,32,51,49,72,14,3,4,74,6,15,60000,66733,46,25,520,45,4,14,8,30,91,5,22,747,378,369
t3102800,3378,25,53,47,16,55,12,3,58,14,41,31827,42462,77,17,321,16,9,28,12,35,90,50,26,971,334,637
t3102900,1416,26,40,60,28,47,19,1,55,10,38,35833,48960,69,21,248,24,3,20,23,31,93,43,19,419,199,220
t3103000,1800,36,50,50,76,7,8,6,73,1,9,61442,94611,55,25,800,31,5,17,8,39,94,11,18,751,278,473
t3103100,2102,35,56,44,75,18,2,3,65,2,25,34563,58370,43,17,679,34,13,20,3,31,94,31,21,1097,343,754
t3103400,3169,25,46,54,11,66,3,14,59,8,32,22365,44691,70,15,290,46,11,29,0,14,90,46,25,1195,130,1065
t3103600,2273,51,46,54,84,2,7,1,70,0,5,92500,127915,31,23,1385,47,7,12,9,25,96,3,21,1300,860,440
