tractID,mean,standard_error
t7061003,80.6,2.208
t7061004,80.7,1.1537
t7061005,80,2.6987
t7061007,83.9,2.9857
t7061008,80.6,2.5608
t7061009,80.7,1.9404
t7061102,77.4,1.1543
t7061105,80.4,1.9241
t7061106,82.7,2.6484
t7061107,79.6,1.1485
t7061108,81.3,3.0651
t7061401,81.7,2.1248
t7061402,82.5,1.4697
t7061501,82.3,1.8857
t7061502,83.6,1.8423
t7070100,76.5,1.3887
t7070100,84.6,1.6961
t7070200,78.5,1.3674
t7070200,88.3,3.0034
t7070300,79.9,1.1826
t7070300,78.7,0.864
t7070400,77.3,0.8429
t7070400,83.2,2.0403
t7070500,79.6,0.9727
t7070500,82.7,2.0818
t7070600,79.8,1.3282
t7070600,76.5,1.1657
t7070700,81.2,2.0136
t7180100,84.9,2.1487
t7180200,85.3,2.4012
t7180300,84.3,1.5619
t7180400,77.9,1.3458
t7180500,79.9,1.178
t7180600,84.4,2.7148
t7180700,77.3,1.2145
t7180800,77.9,3.0667
t7180900,80.6,1.9891
t7181000,83.6,1.7274
t7450100,81.6,1.4417
t7450200,81.1,1.2235
t7450300,82.2,1.2993
t7450400,78.5,1.1786
t7450500,81.9,2.8141
t7450600,75.4,0.9721
t7450701,80.9,2.3117
t7450702,76.4,1.2471
t7460100,77.3,0.6195
t7460200,79.7,2.283
t7460300,83.5,2.8878
t7460300,75.6,1.6143
t7460400,83.2,2.6866
t7460400,85.5,2.7604
t7460500,82.2,1.4706
t7490100,77.6,0.811
t7490200,85.7,1.9011
t7490300,81.6,1.402
t7490400,85.1,1.8938
t7490500,84.1,1.9332
t7490600,79.4,1.1885
t7750100,79.1,1.6706
t7750200,78.9,1.3158
t7750300,77.4,0.9358
t7750400,87.4,2.5383
t7750500,83.5,1.8015
t7750600,77.8,1.5815
t7770900,76.4,0.9065
t7780100,84.8,2.057
t7780100,81.6,1.6802
t7780200,86.2,2.3843
t7780200,85.1,2.089
t7780300,80.4,1.1536
t7780300,87.7,2.3879
t7780400,84.8,1.8255
t7780400,82.7,2.2427
t7780500,78.8,1.1623
t7780500,79.8,0.9654
t7780600,84.6,1.4731
t7780600,74.3,0.9642
t7780700,80.2,1.0875
t7780700,79.3,2.5234
t7780800,75.3,1.3164
t7780800,85.3,1.5903
t7781000,79.8,1.1948
t7781100,81,1.6144
t7781200,84.8,1.7969
t7940000,73.1,1.4692
t7940001,72.1,2.0906
t7940002,77,2.8052
t7940100,75.8,1.2355
t7940300,78.6,3.1649
t7950100,77.4,1.1733
t7950200,83.4,2.03
t7960100,78.6,1.4423
t7960100,82.9,1.3152
t7960200,77.7,1.4231
t7960200,91.2,3.919
t7960300,78.2,1.5398
t7960300,81.9,1.7741
t7960400,75.1,1.1744
t7960500,85,2.3122
t7960600,78.9,1.2682
t7960700,85.5,1.718
t7960800,80.4,1.3446
t9000100,75.4,1.4416
t9000100,78,1.4234
t9000100,65.6,3.4494
t9000200,82.3,1.6923
t9000200,80,1.2702
t9000200,81.3,2.7196
t9000300,79.8,1.214
t9000300,79,1.2193
t9000300,74.2,1.5416
t9000400,80.3,1.9151
t9000410,77.9,1.9194
t9000500,75.6,2.2725
t9000600,84.1,2.7629
t9000600,76.4,1.2836
t9000800,78.9,1.3126
t9000900,82.2,1.3383
t9000901,79.3,1.6327
t9000902,77.3,1.0674
t9000903,80.5,1.8918
t9001000,84.9,1.7147
t9001000,80,1.6995
t9001100,86.1,3.5066
t9001200,78.4,0.4918
t9001201,86,1.7505
t9001202,83.2,2.1465
t9001203,84.7,2.6358
t9001300,81.8,1.0274
t9001301,82.8,1.474
t9001302,84.5,2.029
t9001400,82.8,1.4848
t9001401,79,1.3823
t9001402,78.7,1.0058
t9001501,80.7,1.7061
t9001502,86.3,2.8419
t9001503,80.5,2.2113
t9001601,88.3,2.6462
t9001602,83.1,3.0274
t9001603,86.9,2.5331
t9001701,79.5,1.4247
t9001702,89.5,3.4329
t9001703,82.6,1.3161
t9001800,81.8,1.718
t9001900,83.6,1.4985
t9002000,84.6,1.1875
t9002100,79.9,1.2138
t9002200,80.5,0.6528
t9002300,79.6,1.538
t9020100,79.2,1.1311
t9020100,78.2,1.654
t9020200,71.6,1.9006
t9020202,83.1,2.2162
t9020203,81.2,1.9643
t9020205,79.4,1.3256
t9020206,77.6,1.1659
t9020300,83.4,2.8096
t9020300,79.1,3.3262
t9020400,78.4,0.6291
t9020500,84.9,2.1769
t9020600,76.6,1.2288
t9020700,77.5,1.5551
t9020800,78.7,1.5392
t9020900,81.2,1.5435
t9021000,77.7,1.2499
t9021101,78.2,0.981
t9021102,79.5,1.3566
t9021200,75.8,1.5279
t9080100,86.5,2.5232
t9080100,75.4,0.9653
t9080101,80.5,1.0782
t9080102,80.7,1.2082
t9080200,78.5,1.3303
t9080200,86.2,3.241
t9080201,81,2.6515
t9080202,80.6,2.6299
t9080203,81,1.5348
t9080204,80.7,1.6947
t9080205,80.7,1.9169
t9080300,79.4,0.8628
t9080300,88.4,2.8537
t9080301,80.9,2.3
t9080302,81.5,1.3518
t9080400,84.2,1.6751
t9080400,80.3,1.4223
t9080400,81.7,2.2921
t9080500,82.3,1.4323
t9080500,77.3,1.3636
t9080600,78.1,0.9726
t9080600,78.8,1.0548
t9080700,82.4,1.3062
t9080700,79.5,1.5747
t9080800,80,1.0274
t9080800,85.4,2.8976
t9080900,82.2,1.1907
t9080903,81.3,1.0127
t9080904,81.8,1.469
t9080905,83.4,2.5247
t9080906,83.8,2.1655
t9081000,81.9,1.2781
t9081100,81.6,1.5232
t9081200,80.5,0.9534
t9081300,78.2,1.0734
t9090100,80.3,1.3321
t9090100,79,1.5354
t9090200,82.7,1.33
t9090200,80.9,1.257
t9090301,80.8,0.9375
t9090302,81.5,1.8416
t9090401,80.8,1.2094
t9090402,80.2,0.9378
t9090501,81.2,2.0062
t9090503,85.8,3.7202
t9090601,87.6,3.9151
t9090602,81.3,2.0761
t9090701,86.2,2.1369
t9090800,87.3,2.9418
t9090900,78.9,2.28
t9091000,80.5,1.3294
t9091100,82.5,2.8825
t9091201,83.4,2.0612
t9091202,79.3,1.5277
t9130100,84.3,2.2425
t9130200,81.3,1.4608
t9130301,89.4,2.9002
t9130302,73,1.1485
t9130400,80,1.254
t9130501,79.5,1.3848
t9130502,78.7,1.7373
t9130600,81.1,1.6777
t9480100,84.3,2.0982
t9480100,74.4,1.2895
t9480200,87.4,2.1372
t9480200,79.9,0.7557
t9480300,79.3,1.3823
t9480300,79.3,1.3853
t9670100,81.5,1.3912
t9670200,79.3,1.2409
t9670300,78.2,0.7649
t9670400,84.7,2.5222
t9670600,75.5,1.0325
t9670700,80.5,1.4713
t9670800,84.4,1.6098
t9670900,82.7,1.5642
t9671000,81.4,1.4673
t9790100,79.6,1.3945
t9790200,80,1.9243
t9790300,78.7,0.6995
t9790400,79.9,1.095
t9790500,76.2,1.1943
t9790600,77.3,1.2169
t9950100,85.5,2.0096
t9950100,88,2.454
t9950200,78,1.0651
t9950200,79.6,1.2818
t9950300,84.8,2.4635
t9950300,79.6,1.0267
t9950400,79.4,1.0753
t9950400,78.4,1.64
t9950500,80.7,1.2026
t9950500,79.7,0.9675
t9950600,82.8,1.9236
