tractID,mean,standard_error
t3025301,78.4,0.9054
t3025302,79.6,1.5929
t3025401,80.6,1.9492
t3025403,76.7,1.2318
t3025601,84.1,2.1016
t3025603,82.5,1.72
t3025605,80.5,1.1175
t3025701,86,1.9661
t3025702,81.3,1.4266
t3025801,79.9,1.6515
t3025802,80.1,1.2722
t3025803,80.8,1.866
t3025805,81.2,1.1191
t3025903,84.8,2.4251
t3025905,84.2,1.0582
t3025906,81.6,1.7283
t3025907,82.7,1.4646
t3026005,80.3,1.0528
t3026006,86.9,3.847
t3026007,84.5,1.6962
t3026013,83,2.0791
t3026014,81,1.8998
t3026015,80.6,1.8076
t3026016,84.6,3.1939
t3026018,86.7,3.3232
t3026019,83.9,2.9105
t3026020,80,1.0243
t3026021,80.6,1.345
t3026022,80.6,2.8568
t3026101,82.7,1.5079
t3026103,83,1.9086
t3026104,86.3,3.392
t3026201,84.9,1.6625
t3026202,82.7,1.8695
t3026205,81.9,1.749
t3026206,82.1,1.5118
t3026207,85,3.1078
t3026208,83.7,2.2948
t3026301,80.2,1.4215
t3026302,83,1.8827
t3026402,79.5,0.7864
t3026403,83.4,1.8193
t3026505,85.7,3.0165
t3026507,84.9,3.3596
t3026508,80.6,0.9399
t3026509,84.7,2.7248
t3026510,87.5,3.4783
t3026511,77,2.2391
t3026512,87.7,3.4995
t3026514,79.6,0.9498
t3026605,81.8,1.2331
t3026606,87.6,2.7443
t3026609,88.4,3.5777
t3026610,86.7,2.2726
t3026611,82.7,1.8025
t3026612,80.5,1.8697
t3026613,83,1.0512
t3026702,76.8,1.4724
t3026707,79,1.3523
t3026708,84.2,2.9179
t3026710,79.9,0.8158
t3026712,81.9,2.8613
t3026713,80.3,0.9641
t3026714,84.7,2.4527
t3026715,83.9,2.7712
t3026716,80.5,1.794
t3026807,78.8,1.4128
t3026810,76.1,1.7055
t3026811,78,1.1796
t3026812,79.8,1.4862
t3026814,78.7,2.851
t3026815,79.2,1.5522
t3026816,77.3,1.2325
t3026818,80,2.3052
t3026819,74.3,2.7616
t3026820,80.5,1.0095
t3026822,85.4,1.9745
t3026823,81.3,1.6262
t3026903,79.1,1.2498
t3026906,83.7,3.3458
t3026907,80.3,1.5563
t3026909,81.1,1.2064
t3026910,79.8,1.7415
t3027001,80.4,2.5712
t3027002,81,1.2845
t3027101,91.9,3.8982
t3027102,81.8,1.7791
t3027201,86.3,2.1791
t3027202,84.3,3.4973
t3027203,79.2,1.0782
t3027300,82.8,1.8065
t3027400,84.5,1.6004
t3027501,79.7,1.13
t3027503,84.5,3.038
t3027504,86.7,3.1979
t3027601,77.8,0.9249
t3027602,84.3,3.6193
t3027700,83.9,2.1237
t3030100,81.2,1.1997
t3030201,79,1.0711
t3030202,78.9,2.9592
t3030300,82.7,1.8643
