year,name,Filings,Evictions
2010,t3020304,27,4
2010,t3020400,35,11
2010,t3020500,22,5
2010,t3020700,15,6
2010,t3020804,17,1
2010,t3021001,32,7
2010,t3021002,16,8
2010,t3021100,10,2
2010,t3021200,12,4
2010,t3021300,35,7
2010,t3021400,20,4
2010,t3021501,24,5
2010,t3021502,47,19
2010,t3021503,31,4
2010,t3021504,16,4
2010,t3021505,36,8
2010,t3021601,12,3
2010,t3021602,16,3
2010,t3021900,18,5
2010,t3022101,31,10
2010,t3022102,10,2
2010,t3022200,31,3
2010,t3022302,53,21
2010,t3022400,27,12
2010,t3022700,20,5
2010,t3022901,11,4
2010,t3023000,38,9
2010,t3023200,55,30
2010,t3023300,53,18
2010,t3023400,35,13
2010,t3024003,15,3
2010,t3024004,10,1
2010,t3024300,17,11
2010,t3024400,26,9
2010,t3024600,15,4
2010,t3024700,13,6
2010,t3024801,17,6
2010,t3024802,25,7
2010,t3024902,18,3
2010,t3024903,31,8
2010,t3025100,49,21
2010,t3025201,33,12
2010,t3025205,16,3
2010,t3025302,19,10
2010,t3025401,11,4
2010,t3025403,33,11
2010,t3025601,10,4
2010,t3025605,20,7
2010,t3025701,16,3
2010,t3025702,11,3
2010,t3025801,15,6
2010,t3025903,32,6
2010,t3025906,37,12
2010,t3026006,21,6
2010,t3026007,24,8
2010,t3026016,20,4
2010,t3026019,46,15
2010,t3026104,20,3
2010,t3026202,10,1
2010,t3026207,13,1
2010,t3026301,14,6
2010,t3026402,36,14
2010,t3026403,13,4
2010,t3026404,12,7
2010,t3026505,10,2
2010,t3026508,11,2
2010,t3026510,17,2
2010,t3026511,17,6
2010,t3026512,21,8
2010,t3026514,33,10
2010,t3026611,13,1
2010,t3026612,15,5
2010,t3026710,14,4
2010,t3026714,28,11
2010,t3026715,25,4
2010,t3026716,11,3
2010,t3026807,48,17
2010,t3026809,185,54
2010,t3026810,90,28
2010,t3026811,38,12
2010,t3026812,11,4
2010,t3026814,33,7
2010,t3026815,28,7
2010,t3026816,57,14
2010,t3026818,38,8
2010,t3026819,175,69
2010,t3026820,24,2
2010,t3026822,16,7
2010,t3026903,11,1
2010,t3026906,12,2
2010,t3026908,15,2
2010,t3026909,15,4
2010,t3026910,41,14
2010,t3027002,13,2
2010,t3027201,11,1
2010,t3027203,11,8
2010,t3027300,19,6
2010,t3027501,24,13
2010,t3027601,10,3
2010,t3027602,14,2
2010,t3027700,12,2
2010,t3100200,54,18
2010,t3100400,60,15
2010,t3100700,19,5
2010,t3100800,53,25
2010,t3100900,133,54
2010,t3101200,21,6
2010,t3101300,37,16
2010,t3101600,83,38
2010,t3101800,32,5
2010,t3101900,35,14
2010,t3102000,40,16
2010,t3102100,88,39
2010,t3102300,56,23
2010,t3102500,31,11
2010,t3102600,24,8
2010,t3102800,58,28
2010,t3102900,22,12
2010,t3103100,21,9
2010,t3103400,26,12
2010,t3103600,13,3
2010,t3104100,41,14
