State Code (FIPS),County Code (FIPS),Area Name (including legal/statistical area description)
27,003,Anoka County
27,013,Blue Earth County
27,019,Carver County
27,037,Dakota County
27,053,Hennepin County
27,109,Olmsted County
27,123,Ramsey County
27,131,Rice County
27,137,St. Louis County
27,141,Sherburne County
27,139,Scott County
27,145,Stearns County
27,163,Washington County
27,171,Wright County
